Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",74.845000,-122.985000,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",211.685000,-65.307500,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",111.672500,-103.407500,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",237.303400,-122.893560,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",297.567440,-46.851040,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",178.485000,-83.960625,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",335.591440,-113.469880,0.000000,top
"REF**","Oblong Mounting Hole","Oblong Mounting Hole",311.044680,-65.824840,0.000000,top
"SW2","RotaryEncoder_Switch","ROT_Alps_EC11E-Switch",344.705000,-52.665000,0.000000,top
